season,draft_id,pick_no,round,draft_slot,original_roster_id,current_roster_id,traded_pick,validation_note
2026,draft-harbor-demo,1,1,1,1,1,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,2,1,2,2,2,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,3,1,3,3,3,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,4,1,4,4,4,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,5,1,5,5,5,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,6,1,6,6,6,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,7,1,7,7,7,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,8,1,8,8,8,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,9,1,9,9,9,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,10,1,10,10,10,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,11,1,11,11,11,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,12,1,12,12,12,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,13,2,12,12,12,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,14,2,11,11,11,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,15,2,10,10,10,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,16,2,9,9,9,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,17,2,8,8,8,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,18,2,7,7,7,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,19,2,6,6,6,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,20,2,5,5,5,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,21,2,4,4,4,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,22,2,3,3,3,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,23,2,2,2,2,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,24,2,1,1,1,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,25,3,1,1,1,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,26,3,2,2,2,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,27,3,3,3,3,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,28,3,4,4,4,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,29,3,5,5,5,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,30,3,6,6,6,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,31,3,7,7,7,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,32,3,8,8,8,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,33,3,9,9,9,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,34,3,10,10,10,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,35,3,11,11,11,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,36,3,12,12,12,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,37,4,12,12,12,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,38,4,11,11,11,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,39,4,10,10,10,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,40,4,9,9,9,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,41,4,8,8,8,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,42,4,7,7,7,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,43,4,6,6,6,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,44,4,5,5,5,false,FAKE 12-team untraded snake — Harbor Cats demo
2026,draft-harbor-demo,45,4,4,4,4,false,FAKE 12-team untraded snake — Harbor Cats demo
